TM1,Score1,vs,TM2,Score2,week
KC,27,-,BAL,20,1
PHI,34,-,GB,29,1
BUF,34,-,ARI,28,1
NO,47,-,CAR,10,1
HOU,29,-,IND,27,1
MIA,20,-,JAC,17,1
MIN,28,-,NYG,6,1
NE,16,-,CIN,10,1
PIT,18,-,ATL,10,1
CHI,24,-,TEN,17,1
SEA,26,-,DEN,20,1
LAC,22,-,LV,10,1
DAL,33,-,CLE,17,1
TB,37,-,WAS,20,1
DET,26,-,LAR,20,1
SF,32,-,NYJ,19,1
BUF,31,-,MIA,10,2
GB,16,-,IND,10,2
CLE,18,-,JAC,13,2
LAC,26,-,CAR,3,2
LV,26,-,BAL,23,2
NO,44,-,DAL,19,2
WAS,21,-,NYG,18,2
NYJ,24,-,TEN,17,2
SEA,23,-,NE,20,2
MIN,23,-,SF,17,2
TB,20,-,DET,16,2
ARI,41,-,LAR,10,2
KC,26,-,CIN,25,2
PIT,13,-,DEN,6,2
HOU,19,-,CHI,13,2
ATL,22,-,PHI,21,2
NYJ,24,-,NE,3,3
IND,21,-,CHI,16,3
DEN,26,-,TB,7,3
GB,30,-,TEN,14,3
MIN,34,-,HOU,7,3
PIT,20,-,LAC,10,3
NYG,21,-,CLE,15,3
PHI,15,-,NO,12,3
CAR,36,-,LV,22,3
SEA,24,-,MIA,3,3
BAL,28,-,DAL,25,3
DET,20,-,ARI,13,3
LAR,27,-,SF,24,3
KC,22,-,ATL,17,3
BUF,47,-,JAC,10,3
WAS,38,-,CIN,33,3
DAL,20,-,NYG,15,4
DEN,10,-,NYJ,9,4
CIN,34,-,CAR,24,4
HOU,24,-,JAC,20,4
CHI,24,-,LAR,18,4
MIN,31,-,GB,29,4
ATL,26,-,NO,24,4
TB,33,-,PHI,16,4
IND,27,-,PIT,24,4
WAS,42,-,ARI,14,4
SF,30,-,NE,13,4
LV,20,-,CLE,16,4
KC,17,-,LAC,10,4
BAL,35,-,BUF,10,4
TEN,31,-,MIA,12,4
DET,42,-,SEA,29,4
ATL,36,-,TB,30,5
